,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"FOR NEW PLAYERS
(as of 14/5/2026)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EARLY GAME,,,,,,,,,,,,MIDGAME,,,,,,,,,,,,ENDGAME,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PVE,,,"● Push Adventure (Milestone Areas - 8 / 11 / 14 / NM 1-1)
● Power Up Dungeon till Stage 10
● Raid till Stage 10 (Ox King > Iron Devourer > Destroyer Gaze)
● Clear Infinite Tower as much as possible
● Scoring minimally for Castle Rush",,,,,,,,,,,,"● Pushing Castle Rush scores
● Attempting Advent Expedition bosses
● Power Up Dungeon till Stage 15
● Raid till Stage 15 and attempting Sudden Raids. Some Raid farming as well.
● Clearing Infinite Tower & Tower of Trials
● Comfortably farm NM Adventure higher stages (NM 6-1 / 11-1 / 22-1)",,,,,,,,,,,,"● Pushing Advent Expedition scores
● Engaging in Raid & Sudden Raid farming for Essence and doing gear rerolls
● Tidy up any non-3-star Adventure stages",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PVP,,,● Doing Arena as it is for Arena Tokens (win or lose),,,,,,,,,,,,"● Setting teams and participating in Advanced Arena (after 14-50)
● Participate in Real-Time Arena at least to Gold (before ban kicks in)
● Start to form proper teams in Guild War
● Set at least 2-3 teams for Total War (after 14-50)",,,,,,,,,,,,"● Comfortably set 3 teams for Real-Time Arena & at least 4 teams for Total War
● Whether or not you wish to climb the Arena ladder is your personal preference but endgame PVP would mean fighting with all properly rolled gears, maxed potential pets. 
If you are a speed team player, aim for 440-450 speed. If you are a tank team player, then the aim would be to go for stats via transcendence.",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
