,,,,,,,,,,,,,,,,,,
,,,BANNERS & UPDATES,,,,,,,,,,,,,,,
,DATE,,NEW UNITS / AWAKENINGS,,,,COSTUME RELEASES,,,,,,,KEY UPDATES,EVENT SCENARIOS,,DAYS APART,TOTAL DAYS
,2025,,,,,,,,,,,,,,,,,
,2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Skuld,,,,,,,,,,,"● Rerun Banner: Dellons
● Rerun Banner: Silvesta

● Area 27 (Normal & Nightmare)
● Awakening System debut
● Exclusive Equipment System debut",,,,
,,,,,,,,,,,,,,,,,,
,21-May-2026,,,,,,,,,,,,,"● Accessory Recovery System
● New Accessory Crafting Items 
● Ruby Farming Expedition QoL Improvements
● Manage Equipment QoL Improvements

https://forum.netmarble.com/sk_rebirth_gl/view/11/3605",,,7,371
,14-May-2026,,,,,,,,,,,,,,,,7,364
,7-May-2026,,,,,,,,,,,,,"● Rerun Banner: Rin
● Rerun Banner: Lu Bu

● New Story Event: Becoming Each Other’s Forest
● Hero Reworks (Rin & Ruri)
● Hero Fusion Wishlist & Pity Gauge Cumulative Count Improvements
● Guild War League Separation (Major & Minor)
● RTA Official Season & Region Integration
● Level Limitations in Chat System
● Advent Expedition Reward Improvements

https://forum.netmarble.com/sk_rebirth_gl/view/11/3472",,,7,357
,30-Apr-2026,,,,,,,,,,,,,,,,7,350
,23-Apr-2026,,,,,,,,,,,,,"● Rerun Banner: Aquila

● Area 26 (Normal & Nightmare)
● New Pets (Jeo, Jeb, Yorang)
● Hero Rework (Aquila)
● Pet Skill Enhancement System debut
● Pet Egg Exchange System & Crafting Improvements
● Hero Potential Reset Feature
● Secure Refining Talisman Feature
● Legendary Accessory crafting Improvements
● Guild Level, Mission & Reward Expansion
● Castle Rush Rewards Expansion and Improvements
● Equipment Sell Conditions Improvements
● Equipment Preset Expansion (30 > 100)
● Sudden Raid Timing adjustments

https://forum.netmarble.com/sk_rebirth_gl/view/11/3414",,,7,343
,16-Apr-2026,,,,,,,,,,,,,,,,7,336
,9-Apr-2026,,,,,,,,,,,,,"● New Story Event: Two Hearts and Undying Memories
● Hero Rework (Teo)
● New Minigame: Instant Deo
● Improved Gold Cap
● Accessory Inventory Expansion
● RTA adjustments
● Equipment Reconfiguration Cost Improvements
● Mercure Lab Gold Cost Improvements
● Gold Power-Up Dungeon Improvements

https://forum.netmarble.com/sk_rebirth_gl/view/11/3370",,,7,329
,2-Apr-2026,,,,,,,,,,,,,,,,7,322
,26-Mar-2026,,,,,,,,,,,,,"● FIRST COLLAB: Solo-Leveling
● Removal of Costs for Equipment Swap/Removal
● Collaboration Story Event: Hunters and Adventurers
● Collaboration Equipment
● Nightmare mode added to Story Event
● Sudden Raid Launch & New Equipment
● Equipment Details Feature QOL Update
● Advanced Crafting
● Stat Value Display Improvements
● Free Mini-Game entry
● HP Determination Improvements

https://forum.netmarble.com/sk_rebirth_gl/view/11/2616",,,7,315
,19-Mar-2026,,,,,,,,,,,,,,,,7,308
,12-Mar-2026,,,,,,,,,,,,,"● Area 25 (Normal & Nightmare)
● Infinite Tower Expansion (300F > 350F)
● Advanced Arena Improvements (End time and Start score changes)
● RTA Improvements (Victory score increase)

https://forum.netmarble.com/sk_rebirth_gl/view/11/2076",,,7,301
,5-Mar-2026,,,,,,,,,,,,,,,,7,294
,26-Feb-2026,,,,,,,,,,,,,"● New Story Event: Rising Star on the Battlefield
● Hero Reworks (Rook & Ballista)
● Content Dashboard
● Real Time Arena Launch (Pre-Season)
● Name Card
● Settings to change Hero Portrait Feature
● Crafting Equipment UI Improvement
● Power Up Booster Mode
● Expansion of Clear Info Copy Feature

https://forum.netmarble.com/sk_rebirth_gl/view/11/1998",,,7,287
,19-Feb-2026,,,,,,,,,,,,,,,,7,280
,12-Feb-2026,,,,,,,,,,,,,"● Rerun Banner: Trude

● Area 24 (Normal & Nightmare)
● Equipment Selling Preset
● Expanded Equipment Management System
● Improvements to Advent Expedition Booster Mode

https://forum.netmarble.com/sk_rebirth_gl/view/11/1845",,,7,273
,5-Feb-2026,,,,,,,,,,,,,,,,7,266
,29-Jan-2026,,,,,,,,,,,,,"● Area 23 (Normal & Nightmare)
● Advent Expedition Reward Improvements & Booster Mode
● Guild Content Improvements
● Codex Improvements (Add Voice & Motion)

https://forum.netmarble.com/sk_rebirth_gl/view/11/1761",,,7,259
,22-Jan-2026,,,,,,,,,,,,,,,,7,252
,15-Jan-2026,,,,,,,,,,,,,"● Rerun Banner: Teo

● New Story Event: Ground Zero: The Silent Project
● Hero Rework (Knox)
● Accessory Reward (Ring of Authority)
● Raid Repeat Mission Reward Improvements
● Legendary Costume Rerun (Teo)

https://forum.netmarble.com/sk_rebirth_gl/view/11/1671",,,7,245
,8-Jan-2026,,,,,,,,,,,,,,,,7,238
,1-Jan-2026,,,,,,,,,,,,,"● Area 22 (Normal & Nightmare)
● Hero Potentials 
● Power-Up Dungeon Expansion (Stage11 > 15)
● Minigame Launch (Memory Game)
● Practice Battle (5v5)
● Castle Rush Sweep feature
● Raid Booster Mde (with NEW Raid Ticket currency)
● New Items in Exchange Honor Shop (Raid Ticket, Pooki Ticket)
● New Items in Exchange Topaz Shop (Chaos Essence, Oblivion Essence)
● Daily Check-in Expansion to Day 450
● Pet Egg Hatch/Fuse Slots Expansion (4>10; 5>10)
● Inventory Expansion with Rubies (Weapon/Armor/Accessories)
● Mercure Lab Auto Prediction Feature

https://forum.netmarble.com/sk_rebirth_gl/view/11/1585",,,9,231
,23-Dec-2025,,,,,,,,,,,,,,,,5,222
,18-Dec-2025,,,,,,,,,,,,,"● Rerun Banner: Biscuit

● New Story Event: Balance, Judgment, and Blades
● Hero Reworks (Ace & Spike)
● Adventurer Skill Level Expansion from 120 > 170
● 4★ and 5★ Version costumes
● Advanced Arena & Total War Reward Improvements
● Change in Welcome/Welcome Back Rate Up Hero (Teo > Kyle)
● Priority changes for ""HP falls to n% or lower"" skill effects

https://forum.netmarble.com/sk_rebirth_gl/view/11/1511",,,7,217
,11-Dec-2025,,,,,,,,,,,,,,,,7,210
,4-Dec-2025,,,,,,,,,,,,,"● Area 21 (Normal & Nightmare)
● Hero Reworks (Klahan & Orly)
● Pet Reworks (Windy, Dello, Richel)
● Accessory Crafting
● Advanced Arena (Celestial PVP) debut
● Equipment Presets: Shared, GW (ATK), GW (DEF), Total War
● Equipment Reconfiguration: Chaos Essence (REROLL), Oblivion Essence (RESET)
● Guild War Practice Mode

https://forum.netmarble.com/sk_rebirth_gl/view/11/1394",,,7,203
,27-Nov-2025,,,,,,,,,,,,,,,,7,196
,20-Nov-2025,,,,,,,,,,,,,"● Rerun Banner: Yeonhee

0.5th Anniversary Celebrations
● New Story Event: Girl Leading a Revolution
● New Pets (Yu, Karam, Windy, Merparrow)
● Pet Wish List Summon debut
● Pet Bond & Potential Expansion 
● Infinite Tower Expansion (250F > 300F) & Difficulty Adjustments

https://forum.netmarble.com/sk_rebirth_gl/view/11/1303",,,7,189
,13-Nov-2025,,,,,,,,,,,,,,,,7,182
,6-Nov-2025,,,,,,,,,,,,,"● Rerun Banner: Kris

● New Story Event: Children Chasing Stars
● Hero Rework (Kris)
● Accessory Refine Extraction System
● Junk Labelling for Equipment
● Advent Expedition debut in GLOBAL
● New Item in Exchange Shop (Guild, Topaz, Total War)
● Raid Daily Bonus Equipment Acquisition Count Increase

https://forum.netmarble.com/sk_rebirth_gl/view/11/1108",,,7,175
,30-Oct-2025,,,,,,,,,,,,,,,,7,168
,23-Oct-2025,,,,,,,,,,,,,"● New Story Event: The Root of the Storm, Struck Down by Heaven
● Global Server: Guild War debut
● New Profile Portraits for Uncommon Costumes

https://forum.netmarble.com/sk_rebirth_gl/view/11/996",,,7,161
,16-Oct-2025,,,,,,,,,,,,,,,,7,154
,9-Oct-2025,,,,,,,,,,,,,"● Area 20 (Normal & Nightmare)
● Hero Reworks (Bidam, Velika, Sarah)
● Advent Expedition debut in KR
● Four Lords of Old equipment added
● Guild Content convenience improvements
● Accessory crafting
● Castle Rush, Tower Reward Enhancements
● Battle Statistics
● Equipment Enhance ALL feature
● Equipment Presets feature
● Mercure's Lab improvements
● Hero Inventory improvements
● 7K Chess added to Global
● No cooldown penalty upon leaving Guild

https://forum.netmarble.com/sk_rebirth_gl/view/11/806",,,7,147
,2-Oct-2025,,,,,,,,,,,,,,,,7,140
,25-Sep-2025,,,,,,,,,,,,,"Global Launch!
● Area 19 (Normal & Nightmare)
● New Story Event: Abandoned Flowers Long for the Heavens
● Hero Rework (Silvesta)
● Arena Reward improvements

https://forum.netmarble.com/sk_rebirth_gl/view/15/89",,,7,133
